,URL,ID,likes,dislikes,ratio
521,https://www.youtube.com/watch?v=ss9ygQqqL2Q,ss9ygQqqL2Q,2060882,31292,65.86
523,https://www.youtube.com/watch?v=KCwK2ECPDLA,KCwK2ECPDLA,43188,1716,25.168
525,https://www.youtube.com/watch?v=jR4vvMblYs0,jR4vvMblYs0,23355,1478,15.802
526,https://www.youtube.com/watch?v=doLMt10ytHY,doLMt10ytHY,6052812,218146,27.747
527,https://www.youtube.com/watch?v=EbnH3VHzhu8,EbnH3VHzhu8,151823,8937,16.988
529,https://www.youtube.com/watch?v=FWI1BrV080g,FWI1BrV080g,22317,1153,19.356
530,https://www.youtube.com/watch?v=1_zgKRBrT0Y,1_zgKRBrT0Y,12113236,946366,12.8
531,https://www.youtube.com/watch?v=Ot3H4TvJlpo,Ot3H4TvJlpo,236624,15398,15.367
532,https://www.youtube.com/watch?v=QVLvD5_6ld0,QVLvD5_6ld0,224538,16509,13.601
534,https://www.youtube.com/watch?v=CLrf5YCSsT8,CLrf5YCSsT8,270852,11727,23.096
536,https://www.youtube.com/watch?v=_ce7WX4l55A,_ce7WX4l55A,703416,15879,44.299
538,https://www.youtube.com/watch?v=ow1QqW0jzTo,ow1QqW0jzTo,1255177,57293,21.908
539,https://www.youtube.com/watch?v=IBaSizQyC5g,IBaSizQyC5g,2994521,174322,17.178
542,https://www.youtube.com/watch?v=B6_iQvaIjXw,B6_iQvaIjXw,4779718,142453,33.553
544,https://www.youtube.com/watch?v=91vECNhvmMY,91vECNhvmMY,2135562,80228,26.619
545,https://www.youtube.com/watch?v=oPPO_wqlG9Q,oPPO_wqlG9Q,298148,2946,101.204
547,https://www.youtube.com/watch?v=xPQLcWV8lxU,xPQLcWV8lxU,177532,13734,12.926
548,https://www.youtube.com/watch?v=iXYyFqLi__8,iXYyFqLi__8,18986,2133,8.901
549,https://www.youtube.com/watch?v=2Z0Put0teCM,2Z0Put0teCM,161361,6495,24.844
552,https://www.youtube.com/watch?v=oRdxUFDoQe0,oRdxUFDoQe0,5782122,180774,31.985
554,https://www.youtube.com/watch?v=MbeNyTzksFQ,MbeNyTzksFQ,69905,1765,39.606
555,https://www.youtube.com/watch?v=C6P6hrWyidA,C6P6hrWyidA,668235,59395,11.251
556,https://www.youtube.com/watch?v=t2QL85K6eZU,t2QL85K6eZU,107936,5055,21.352
561,https://www.youtube.com/watch?v=XBWyE1v8--I,XBWyE1v8--I,3481747,40635,85.683
562,https://www.youtube.com/watch?v=liMkmUXdxCc,liMkmUXdxCc,276035,3125,88.331
564,https://www.youtube.com/watch?v=bX3S-_jUauc,bX3S-_jUauc,5952308,215753,27.589
566,https://www.youtube.com/watch?v=osTJc5e1Cyo,osTJc5e1Cyo,1720030,66348,25.924
568,https://www.youtube.com/watch?v=NLGdIWkhvAc,NLGdIWkhvAc,15509,1902,8.154
569,https://www.youtube.com/watch?v=QO7e_RiMVQg,QO7e_RiMVQg,528751,6736,78.496
570,https://www.youtube.com/watch?v=3vDuSr2VLmw,3vDuSr2VLmw,30561,520,58.771
572,https://www.youtube.com/watch?v=B111sTzYFaQ,B111sTzYFaQ,12059,248,48.625
573,https://www.youtube.com/watch?v=ws00k_lIQ9U,ws00k_lIQ9U,5392813,349321,15.438
574,https://www.youtube.com/watch?v=Ac5tUDHlacU,Ac5tUDHlacU,437113,11107,39.355
575,https://www.youtube.com/watch?v=c4BLVznuWnU,c4BLVznuWnU,1763352,32496,54.264
576,https://www.youtube.com/watch?v=HzZ_urpj4As,HzZ_urpj4As,2320755,74298,31.236
577,https://www.youtube.com/watch?v=L8eRzOYhLuw,L8eRzOYhLuw,5840930,348904,16.741
578,https://www.youtube.com/watch?v=58u-zkDLNPg,58u-zkDLNPg,3095945,181004,17.104
579,https://www.youtube.com/watch?v=FjC5XHyK7hE,FjC5XHyK7hE,64351,3591,17.92
580,https://www.youtube.com/watch?v=QYh6mYIJG2Y,QYh6mYIJG2Y,14659800,606321,24.178
581,https://www.youtube.com/watch?v=DiItGE3eAyQ,DiItGE3eAyQ,12244234,923778,13.255
582,https://www.youtube.com/watch?v=32si5cfrCNc,32si5cfrCNc,14693771,646983,22.711
585,https://www.youtube.com/watch?v=Q527XDLEpfU,Q527XDLEpfU,2070701,297539,6.959
586,https://www.youtube.com/watch?v=Y2E71oe0aSM,Y2E71oe0aSM,2951594,112374,26.266
588,https://www.youtube.com/watch?v=_EjtVzK5UFY,_EjtVzK5UFY,39116,1024,38.199
590,https://www.youtube.com/watch?v=zrJtFy51fRo,zrJtFy51fRo,189237,7177,26.367
592,https://www.youtube.com/watch?v=RMc9qFrCqno,RMc9qFrCqno,569422,25403,22.416
596,https://www.youtube.com/watch?v=dISNgvVpWlo,dISNgvVpWlo,8815712,292739,30.115
597,https://www.youtube.com/watch?v=ikebWCNAt0k,ikebWCNAt0k,50050,3530,14.178
599,https://www.youtube.com/watch?v=QamGk6o9lZs,QamGk6o9lZs,124327,8836,14.071
600,https://www.youtube.com/watch?v=2j9RcvNRywQ,2j9RcvNRywQ,203936,492,414.504
601,https://www.youtube.com/watch?v=UXAdlaUhrlE,UXAdlaUhrlE,1513363,52519,28.816
603,https://www.youtube.com/watch?v=t_jHrUE5IOk,t_jHrUE5IOk,6237279,658814,9.467
606,https://www.youtube.com/watch?v=yybUX3f9J18,yybUX3f9J18,288578,40404,7.142
608,https://www.youtube.com/watch?v=1GS7wxWPaxc,1GS7wxWPaxc,3113474,76901,40.487
610,https://www.youtube.com/watch?v=vMLk_T0PPbk,vMLk_T0PPbk,5109707,305071,16.749
612,https://www.youtube.com/watch?v=ZCqG45PtfkE,ZCqG45PtfkE,200747,10158,19.762
615,https://www.youtube.com/watch?v=q0hyYWKXF0Q,q0hyYWKXF0Q,14253236,908335,15.692
619,https://www.youtube.com/watch?v=Gsr_Jy56T4g,Gsr_Jy56T4g,38080,561,67.879
620,https://www.youtube.com/watch?v=IC-CwFr29no,IC-CwFr29no,615276,32336,19.028
